Category,6/1/22,6/2/22,6/3/22,6/4/22,6/5/22,6/6/22,6/7/22,6/8/22,6/9/22,6/10/22,6/11/22,6/12/22,6/13/22,6/14/22,6/15/22,6/16/22,6/17/22,6/18/22,6/19/22,6/20/22,6/21/22,6/22/22,6/23/22,6/24/22,6/25/22,6/26/22,6/27/22,6/28/22,6/29/22,6/30/22,7/1/22
Kids Meals,42.00 ,35.00 ,21.00 ,21.00 ,98.00 ,0.00 ,0.00 ,21.00 ,35.00 ,21.00 ,84.00 ,14.00 ,0.00 ,0.00 ,35.00 ,28.00 ,42.00 ,63.00 ,56.00 ,0.00 ,0.00 ,0.00 ,14.00 ,49.00 ,56.00 ,28.00 ,0.00 ,0.00 ,35.00 ,35.00 ,0.00 
Milkshakes ,136.00 ,152.00 ,284.00 ,168.00 ,170.50 ,0.00 ,0.00 ,92.00 ,197.00 ,185.50 ,216.50 ,206.00 ,0.00 ,0.00 ,125.50 ,136.50 ,226.00 ,211.00 ,202.50 ,0.00 ,0.00 ,0.00 ,156.00 ,173.50 ,190.50 ,160.00 ,0.00 ,0.00 ,140.50 ,146.50 ,0.00 
Oreos ,167.00 ,262.25 ,256.75 ,265.75 ,301.00 ,0.00 ,0.00 ,261.75 ,194.25 ,215.75 ,189.25 ,211.50 ,0.00 ,0.00 ,189.75 ,172.00 ,215.25 ,248.25 ,237.50 ,0.00 ,0.00 ,0.00 ,181.00 ,254.50 ,190.00 ,349.25 ,0.00 ,0.00 ,158.50 ,129.00 ,0.00 
Popcorn,284.57 ,198.61 ,303.54 ,210.60 ,183.68 ,0.00 ,0.00 ,169.72 ,216.62 ,133.73 ,230.63 ,276.58 ,0.00 ,0.00 ,158.69 ,172.71 ,246.57 ,221.60 ,181.59 ,0.00 ,0.00 ,0.00 ,179.67 ,318.47 ,266.54 ,302.48 ,0.00 ,0.00 ,62.86 ,161.68 ,0.00 
Sides ,7.50 ,7.50 ,15.00 ,30.00 ,7.50 ,0.00 ,0.00 ,37.50 ,37.50 ,0.00 ,22.50 ,22.50 ,0.00 ,0.00 ,0.00 ,7.50 ,15.00 ,15.00 ,37.50 ,0.00 ,0.00 ,0.00 ,7.50 ,22.50 ,15.00 ,15.00 ,0.00 ,0.00 ,37.50 ,15.00 ,0.00 
Sundaes ,52.00 ,42.00 ,14.00 ,33.00 ,38.50 ,0.00 ,0.00 ,59.00 ,56.50 ,49.50 ,94.00 ,23.50 ,0.00 ,0.00 ,30.50 ,44.50 ,56.50 ,61.50 ,123.00 ,0.00 ,0.00 ,0.00 ,35.50 ,7.00 ,79.50 ,87.00 ,0.00 ,0.00 ,28.50 ,7.50 ,0.00 
Twinkie,19.50 ,6.50 ,17.75 ,22.00 ,31.00 ,0.00 ,0.00 ,22.75 ,9.00 ,39.00 ,18.75 ,22.00 ,0.00 ,0.00 ,0.00 ,15.50 ,35.00 ,35.00 ,33.50 ,0.00 ,0.00 ,0.00 ,47.25 ,9.75 ,24.50 ,35.00 ,0.00 ,0.00 ,25.25 ,22.00 ,0.00 
Vegetarian Dogs,5.75 ,0.00 ,17.75 ,10.50 ,5.75 ,0.00 ,0.00 ,17.25 ,0.00 ,16.25 ,48.75 ,16.25 ,0.00 ,0.00 ,5.75 ,12.00 ,12.00 ,0.00 ,5.75 ,0.00 ,0.00 ,0.00 ,38.75 ,10.50 ,23.00 ,0.00 ,0.00 ,0.00 ,5.75 ,17.25 ,0.00 
Xtreme,14.75 ,0.00 ,22.00 ,22.00 ,14.75 ,0.00 ,0.00 ,42.00 ,0.00 ,0.00 ,14.75 ,22.00 ,0.00 ,0.00 ,14.75 ,20.00 ,22.00 ,18.00 ,20.00 ,0.00 ,0.00 ,0.00 ,20.00 ,20.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14.75 ,0.00 
Vegetarian Corn Dogs,0.00 ,0.00 ,25.75 ,16.25 ,5.25 ,0.00 ,0.00 ,20.50 ,0.00 ,25.75 ,10.00 ,25.25 ,0.00 ,0.00 ,15.25 ,5.25 ,15.75 ,5.25 ,28.00 ,0.00 ,0.00 ,0.00 ,25.75 ,26.75 ,38.50 ,0.00 ,0.00 ,0.00 ,10.50 ,25.75 ,0.00 
Ice Cream,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,43.50 ,0.00 
