Category,9/1/22,9/2/22,9/3/22,9/4/22,9/5/22,9/6/22,9/7/22,9/8/22,9/9/22,9/10/22,9/11/22,9/12/22,9/13/22,9/14/22,9/15/22,9/16/22,9/17/22,9/18/22,9/19/22,9/20/22,9/21/22,9/22/22,9/23/22,9/24/22,9/25/22,9/26/22,9/27/22,9/28/22,9/29/22,9/30/22,10/1/22
Ice Cream,21.00 ,7.00 ,14.00 ,63.00 ,0.00 ,0.00 ,28.00 ,28.00 ,28.00 ,21.00 ,0.00 ,0.00 ,0.00 ,21.00 ,35.00 ,28.00 ,21.00 ,7.00 ,0.00 ,0.00 ,49.00 ,21.00 ,28.00 ,28.00 ,35.00 ,0.00 ,0.00 ,49.00 ,0.00 ,7.00 ,0.00 
Kids Meals,22.50 ,15.00 ,22.50 ,22.50 ,0.00 ,0.00 ,7.50 ,22.50 ,37.50 ,7.50 ,30.00 ,0.00 ,0.00 ,22.50 ,15.00 ,0.00 ,15.00 ,7.50 ,0.00 ,0.00 ,15.00 ,7.50 ,7.50 ,30.00 ,15.00 ,0.00 ,0.00 ,37.50 ,0.00 ,7.50 ,0.00 
Milkshakes ,94.00 ,108.50 ,157.50 ,245.50 ,0.00 ,0.00 ,142.00 ,139.50 ,177.00 ,128.50 ,184.50 ,0.00 ,0.00 ,33.00 ,152.50 ,109.00 ,171.50 ,103.50 ,0.00 ,0.00 ,71.50 ,87.50 ,86.00 ,121.50 ,130.00 ,0.00 ,0.00 ,114.50 ,106.50 ,111.50 ,0.00 
Oreos ,212.50 ,212.00 ,255.50 ,262.00 ,0.00 ,0.00 ,113.00 ,141.00 ,274.50 ,211.00 ,231.00 ,0.00 ,0.00 ,116.00 ,99.50 ,117.50 ,165.00 ,123.00 ,0.00 ,0.00 ,104.00 ,103.50 ,152.00 ,149.00 ,220.00 ,0.00 ,0.00 ,135.00 ,132.00 ,119.50 ,0.00 
Popcorn,113.81 ,227.66 ,230.68 ,181.71 ,0.00 ,0.00 ,251.35 ,147.75 ,114.77 ,118.75 ,181.75 ,0.00 ,0.00 ,107.76 ,94.88 ,177.68 ,181.74 ,170.63 ,0.00 ,0.00 ,78.88 ,172.76 ,158.73 ,232.51 ,164.74 ,0.00 ,0.00 ,102.82 ,103.82 ,130.76 ,0.00 
Soft Serve,38.75 ,76.75 ,69.75 ,62.25 ,0.00 ,0.00 ,65.25 ,53.50 ,58.00 ,45.25 ,48.50 ,0.00 ,0.00 ,50.25 ,21.00 ,36.25 ,58.25 ,20.25 ,0.00 ,0.00 ,20.00 ,19.50 ,42.00 ,35.50 ,34.75 ,0.00 ,0.00 ,86.50 ,20.25 ,26.50 ,0.00 
Sundaes ,10.00 ,54.50 ,37.50 ,20.00 ,0.00 ,0.00 ,10.00 ,0.00 ,17.50 ,0.00 ,56.50 ,0.00 ,0.00 ,10.00 ,20.00 ,20.00 ,20.00 ,10.00 ,0.00 ,0.00 ,20.00 ,20.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0.00 ,0.00 ,30.00 ,7.50 ,0.00 
Twinkie,3.50 ,17.00 ,27.00 ,20.50 ,0.00 ,0.00 ,10.50 ,14.00 ,3.50 ,23.50 ,15.50 ,0.00 ,0.00 ,3.50 ,20.50 ,13.50 ,45.50 ,14.00 ,0.00 ,0.00 ,17.50 ,10.50 ,3.50 ,10.50 ,10.50 ,0.00 ,0.00 ,0.00 ,14.00 ,17.00 ,0.00 
Vegetarian Corn Dogs,5.25 ,5.25 ,35.75 ,15.75 ,0.00 ,0.00 ,0.00 ,0.00 ,5.25 ,15.75 ,30.50 ,0.00 ,0.00 ,0.00 ,10.00 ,5.25 ,10.50 ,5.25 ,0.00 ,0.00 ,0.00 ,16.75 ,5.25 ,16.75 ,0.00 ,0.00 ,0.00 ,0.00 ,20.50 ,15.25 ,0.00 
Vegetarian Dogs,6.00 ,10.75 ,79.25 ,40.75 ,0.00 ,0.00 ,10.75 ,10.75 ,12.00 ,37.75 ,24.25 ,0.00 ,0.00 ,0.00 ,0.00 ,23.00 ,0.00 ,12.00 ,0.00 ,0.00 ,6.00 ,36.00 ,0.00 ,0.00 ,6.00 ,0.00 ,0.00 ,12.25 ,0.00 ,6.00 ,0.00 
Xtreme,22.00 ,0.00 ,62.00 ,126.00 ,0.00 ,0.00 ,0.00 ,22.00 ,20.00 ,0.00 ,0.00 ,0.00 ,0.00 ,20.00 ,0.00 ,20.00 ,0.00 ,22.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14.75 ,0.00 ,42.00 ,0.00 ,0.00 ,0.00 ,14.75 ,20.00 ,0.00 
Sides ,0.00 ,24.00 ,16.00 ,8.00 ,0.00 ,0.00 ,16.00 ,24.00 ,8.00 ,16.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.00 ,32.00 ,8.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.00 ,8.00 ,16.00 ,40.00 ,0.00 ,0.00 ,8.00 ,0.00 ,24.00 ,0.00 
