Date,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13
1/1/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/2/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/3/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/4/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/5/23,46.5,367.0,44.0,125.0,105.5,28.0,400.0,58.0,495.0,143.0,181.5,110.82,27.75
1/6/23,73.5,518.0,149.0,190.25,132.0,50.0,578.25,69.5,593.0,195.75,156.0,179.75,26.75
1/7/23,66.0,480.0,109.5,165.5,59.0,82.0,440.0,94.0,492.0,103.5,233.0,236.64,16.5
1/8/23,80.5,507.0,72.75,161.0,90.0,70.0,396.25,142.0,580.0,154.75,173.5,150.75,20.5
1/9/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/10/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/11/23,38.5,206.0,98.0,73.0,82.25,24.0,317.5,46.0,282.5,59.0,63.5,65.92,22.5
1/12/23,59.0,262.0,132.25,148.75,58.5,6.0,405.75,31.0,396.5,145.5,106.0,170.72,16.0
1/13/23,39.5,502.0,86.0,132.0,51.25,52.0,410.25,54.5,486.5,117.25,180.0,289.58,19.75
1/14/23,91.0,371.0,44.25,124.25,79.75,64.0,456.0,31.0,430.5,89.5,90.0,107.83,10.5
1/15/23,72.0,515.0,57.0,125.5,96.5,22.0,372.75,55.5,345.5,100.5,154.5,134.83,20.75
1/16/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/17/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/18/23,56.0,269.0,166.0,70.0,28.25,16.0,291.75,62.0,351.0,95.0,52.0,103.84,11.25
1/19/23,50.0,404.0,66.0,135.0,51.25,60.0,440.5,111.5,246.5,136.5,114.0,122.79,15.25
1/20/23,63.0,382.0,163.25,150.0,79.25,42.0,531.0,74.0,611.0,144.0,224.0,87.86,5.25
1/21/23,74.5,642.0,137.5,130.0,89.0,72.0,567.75,52.0,618.5,241.5,233.0,206.62,34.25
1/22/23,49.0,403.0,123.25,160.0,68.5,70.0,344.75,49.5,539.5,146.0,214.5,137.8,11.5
1/23/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/24/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/25/23,72.0,422.0,65.75,146.5,35.25,58.0,415.0,75.0,434.5,137.0,136.5,124.8,29.25
1/26/23,76.5,238.0,84.25,104.0,43.0,22.0,427.75,126.5,371.5,140.0,110.0,100.82,39.75
1/27/23,72.0,377.0,138.5,206.0,73.0,46.0,436.25,99.5,695.0,138.25,205.0,148.74,16.75
1/28/23,68.0,598.0,143.25,271.25,39.0,28.0,622.0,108.0,834.0,292.0,198.0,252.62,11.5
1/29/23,82.5,394.0,73.5,96.5,41.5,50.0,417.25,104.5,456.5,125.0,136.5,103.83,16.75
1/30/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/31/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/1/23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
