Date,Product_1,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_12,Product_13,Product_2,Product_11
9/1/21,73.5,0.0,0.0,80.0,0.0,464.25,78.0,854.0,134.5,206.64,10.0,0,0
9/2/21,48.5,0.0,0.0,83.0,0.0,641.5,91.0,689.0,110.5,184.68,26.0,0,0
9/3/21,94.75,0.0,0.0,96.75,0.0,531.0,24.0,1032.5,156.5,262.55,0.0,0,0
9/4/21,39.5,0.0,0.0,73.0,0.0,529.0,64.0,768.5,202.5,218.6,5.0,0,0
9/5/21,99.25,0.0,0.0,103.0,0.0,592.0,127.0,1151.5,190.0,168.67,34.0,0,0
9/6/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/7/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/8/21,93.25,0.0,0.0,69.0,0.0,567.75,73.0,573.0,157.5,150.76,19.0,0,0
9/9/21,43.0,0.0,0.0,81.0,0.0,522.25,66.0,512.0,158.5,222.59,0.0,0,0
9/10/21,52.25,0.0,0.0,133.75,0.0,908.75,149.0,805.5,206.0,273.61,24.75,0,0
9/11/21,95.5,0.0,0.0,106.5,0.0,849.5,44.0,707.0,119.5,209.66,35.25,0,0
9/12/21,74.75,0.0,0.0,100.25,0.0,593.5,95.0,1017.5,191.5,190.65,25.25,0,0
9/13/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/14/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/15/21,49.5,0.0,0.0,91.0,0.0,467.0,48.0,492.5,127.0,197.66,20.75,0,0
9/16/21,30.0,0.0,0.0,45.0,0.0,344.75,14.0,311.5,77.5,112.8,5.5,0,0
9/17/21,46.25,0.0,0.0,73.25,0.0,504.25,90.0,718.0,91.5,190.67,36.25,0,0
9/18/21,62.5,0.0,0.0,118.25,0.0,496.75,105.0,980.5,213.5,226.69,5.0,0,0
9/19/21,50.0,0.0,0.0,124.25,0.0,442.0,36.0,502.0,143.5,246.61,12.0,0,0
9/20/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/21/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/22/21,46.75,0.0,0.0,81.5,0.0,456.5,12.0,582.0,185.5,243.56,23.5,0,0
9/23/21,67.5,0.0,48.0,86.75,0.0,577.25,89.0,475.5,81.5,192.69,24.5,0,0
9/24/21,55.25,0.0,126.0,71.0,0.0,668.75,87.0,537.5,215.0,189.65,45.75,0,0
9/25/21,43.25,0.0,102.0,87.75,0.0,547.75,98.0,735.5,88.5,190.71,25.0,0,0
9/26/21,90.75,0.0,114.0,123.0,0.0,518.75,64.0,821.0,231.5,257.64,0.0,0,0
9/27/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/28/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9/29/21,75.5,0.0,96.0,78.75,0.0,431.5,96.0,469.5,188.0,187.72,28.5,0,0
9/30/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,0.0,0,0
